Customer ID,Frequency,Monetary,Returns,Customer Age,Gender,Churn,Recency,Recency_log
1,3,6290,0.0,67,0,1,289,5.66988092298052
2,6,16481,4.0,42,0,0,73,4.30406509320417
3,4,9423,0.0,31,1,0,223,5.41164605185504
4,5,7826,3.0,37,1,1,442,6.093569770045136
5,5,9769,3.0,24,0,0,425,6.054439346269371
6,9,25428,5.0,34,0,0,141,4.955827057601261
7,8,17825,3.0,22,1,0,142,4.962844630259907
8,7,16245,5.0,66,1,0,26,3.295836866004329
9,7,24621,3.0,39,0,0,141,4.955827057601261
10,8,20672,2.0,49,0,0,131,4.882801922586371
11,8,17730,4.0,67,1,0,103,4.6443908991413725
12,7,16756,0.0,31,1,0,114,4.74493212836325
13,5,13798,1.0,60,1,0,259,5.560681631015528
14,5,14119,1.0,42,1,0,264,5.579729825986222
15,5,16533,3.0,38,1,0,82,4.418840607796598
16,3,7196,1.0,67,1,0,105,4.663439094112067
17,8,22968,1.0,32,1,0,103,4.6443908991413725
18,2,4859,0.0,52,1,1,427,6.059123195581797
19,5,12232,3.0,37,1,1,518,6.251903883165888
20,4,17443,2.0,42,1,0,77,4.356708826689592
21,5,10598,1.0,20,1,0,266,5.58724865840025
22,5,14137,0.0,40,0,0,14,2.70805020110221
23,7,18733,2.0,33,0,0,135,4.912654885736052
24,4,11413,1.0,69,0,0,145,4.983606621708336
25,3,9876,2.0,18,0,1,354,5.872117789475416
26,3,9845,1.0,50,1,0,185,5.225746673713202
27,4,12554,3.0,45,0,0,239,5.480638923341991
28,4,16765,1.0,56,1,0,309,5.736572297479192
29,5,13240,2.0,54,1,1,572,6.35088571671474
30,4,8047,2.0,33,0,0,58,4.07753744390572
31,6,16430,2.0,50,1,0,154,5.043425116919247
32,5,11953,3.0,39,0,1,864,6.762729506931879
33,7,24987,3.0,41,1,0,487,6.190315405853148
34,1,658,1.0,57,1,1,301,5.71042701737487
35,8,24174,5.0,65,0,0,270,5.602118820879701
36,4,11107,1.0,38,1,0,26,3.295836866004329
37,8,15557,4.0,52,0,0,33,3.5263605246161616
38,4,11437,2.0,44,0,0,237,5.472270673671475
39,7,20951,3.0,36,1,0,473,6.161207321695077
40,6,16453,3.0,32,0,0,278,5.631211781821365
41,7,25741,4.0,70,0,0,235,5.4638318050256105
42,6,18931,1.0,22,0,0,20,3.044522437723423
43,5,17364,2.0,60,1,0,121,4.804021044733257
44,4,11927,2.0,28,0,0,69,4.248495242049359
45,7,23309,1.0,70,0,0,21,3.091042453358316
46,8,22536,1.0,37,0,0,146,4.990432586778736
47,8,18507,4.0,18,0,0,241,5.488937726156687
48,3,11983,1.0,36,0,0,25,3.258096538021482
49,2,6868,1.0,63,1,1,796,6.680854678790215
50,4,11595,3.0,38,0,1,199,5.298317366548036
51,11,29769,4.0,18,1,0,320,5.771441123130016
52,8,18753,2.0,58,1,0,83,4.430816798843313
53,4,8902,1.0,23,0,0,171,5.147494476813453
54,5,15001,2.0,28,0,0,121,4.804021044733257
55,5,15117,3.0,35,1,0,272,5.60947179518496
56,4,11599,2.0,51,0,1,540,6.293419278846481
57,5,17134,2.0,31,0,0,324,5.783825182329737
58,4,6959,0.0,59,1,0,157,5.062595033026967
59,7,26988,0.0,39,0,0,57,4.060443010546419
60,8,19803,2.0,24,1,0,293,5.683579767338681
61,4,6388,1.0,33,1,0,88,4.48863636973214
62,3,11855,3.0,19,0,1,487,6.190315405853148
63,6,23109,3.0,23,1,1,364,5.899897353582492
64,3,6620,1.0,38,1,1,707,6.56244409369372
65,6,12404,3.0,32,1,0,67,4.219507705176107
66,6,18045,3.0,53,0,0,48,3.8918202981106265
67,2,5269,1.0,62,0,1,296,5.6937321388027
68,3,10642,1.0,48,1,1,836,6.729824070489475
69,3,8622,0.0,22,1,0,226,5.424950017481403
70,9,24074,2.0,38,1,0,6,1.9459101490553128
71,2,2540,1.0,43,0,1,430,6.066108090103747
72,7,17152,4.0,25,1,1,166,5.117993812416755
73,2,5460,1.0,68,1,1,571,6.349138991379798
74,5,9391,0.0,59,1,0,132,4.890349128221754
75,3,7176,1.0,65,1,0,209,5.3471075307174685
76,2,8123,1.0,40,1,0,103,4.6443908991413725
77,2,4495,1.0,58,1,1,779,6.659293919683638
78,4,10920,2.0,51,0,1,599,6.396929655216146
79,3,7066,1.0,43,0,1,791,6.674561391814426
80,10,22648,4.0,34,0,0,350,5.860786223465865
81,5,12760,2.0,42,1,0,347,5.8522024797744745
82,4,6949,2.0,21,0,0,99,4.605170185988092
83,8,16211,6.0,24,0,0,159,5.075173815233827
84,3,2557,0.0,49,1,0,70,4.262679877041316
85,7,16901,3.0,27,0,0,254,5.541263545158426
86,6,12123,1.0,21,1,0,273,5.613128106388071
87,2,5436,1.0,46,0,1,244,5.501258210544727
88,5,11135,1.0,33,1,1,419,6.040254711277414
89,7,18361,0.0,24,1,0,2,1.0986122886681098
90,6,14780,1.0,27,0,0,1,0.6931471805599453
91,6,14816,2.0,54,1,0,92,4.532599493153256
92,3,11784,1.0,58,0,0,264,5.579729825986222
93,3,10025,1.0,51,1,0,298,5.700443573390687
94,6,15378,2.0,38,1,0,88,4.48863636973214
95,4,9736,1.0,63,1,0,109,4.700480365792417
96,7,22981,2.0,25,0,0,2,1.0986122886681098
97,3,6636,1.0,33,0,0,234,5.459585514144159
98,6,20950,0.0,55,0,0,222,5.407171771460119
99,4,11211,1.0,34,1,1,660,6.493753839851686
100,8,19950,5.0,20,0,0,23,3.1780538303479458
101,8,27360,3.0,58,1,0,122,4.812184355372417
102,1,1259,1.0,18,0,1,964,6.872128101338986
103,7,24077,5.0,59,1,0,89,4.499809670330265
104,4,13848,4.0,31,1,0,542,6.297109319933935
105,4,7530,2.0,30,1,0,215,5.375278407684165
106,3,8311,0.0,24,1,0,56,4.04305126783455
107,4,8393,4.0,44,1,0,301,5.71042701737487
108,11,31386,1.0,53,1,0,262,5.572154032177765
109,5,18510,1.0,60,0,0,108,4.691347882229144
110,3,3558,1.0,42,1,1,459,6.131226489483141
111,5,9692,3.0,57,0,0,322,5.777652323222656
112,2,4378,0.0,67,0,1,560,6.329720905522696
113,4,7328,2.0,39,0,1,332,5.808142489980444
114,5,11568,3.0,27,1,1,695,6.54534966033442
115,7,13470,3.0,21,1,0,199,5.298317366548036
116,4,11725,0.0,55,0,0,36,3.610917912644224
117,6,22130,3.0,49,1,0,29,3.4011973816621555
118,6,17754,1.0,65,1,0,213,5.365976015021851
119,6,18014,2.0,49,1,0,435,6.077642243349034
120,5,10470,1.0,29,0,0,259,5.560681631015528
121,5,13615,3.0,28,1,1,499,6.214608098422191
122,5,18104,3.0,18,1,0,142,4.962844630259907
123,3,12829,1.0,64,1,0,27,3.332204510175204
124,2,2308,2.0,44,0,1,708,6.563855526532128
125,6,17497,0.0,46,0,0,37,3.6375861597263857
126,3,12680,3.0,40,0,1,614,6.421622267806518
127,1,3872,0.0,62,1,1,952,6.859614903654202
128,2,3931,2.0,67,1,1,382,5.948034989180646
129,6,14527,2.0,60,0,0,193,5.267858159063328
130,4,15849,1.0,37,0,0,165,5.111987788356544
131,4,6668,1.0,63,1,1,543,6.298949246855942
132,3,10091,1.0,22,1,0,245,5.5053315359323625
133,8,25725,2.0,61,1,0,7,2.079441541679836
134,4,12344,1.0,69,1,0,186,5.231108616854587
135,6,13476,3.0,35,0,0,253,5.537334267018537
136,8,22890,2.0,25,0,0,370,5.916202062607435
137,8,24134,2.0,66,1,0,495,6.206575926724928
138,2,2907,2.0,19,1,1,232,5.4510384535657
139,7,15036,3.0,21,0,0,67,4.219507705176107
140,3,8230,1.0,55,1,0,137,4.927253685157205
141,9,26395,3.0,41,1,0,329,5.799092654460526
142,2,4184,2.0,43,0,1,466,6.1463292576688975
143,8,22505,5.0,50,0,0,179,5.19295685089021
144,6,17553,2.0,40,0,0,53,3.9889840465642745
145,10,26432,6.0,48,1,1,143,4.969813299576001
146,2,9457,1.0,23,0,1,794,6.678342114654332
147,7,14477,1.0,49,1,0,147,4.997212273764115
148,2,6506,0.0,24,0,1,74,4.31748811353631
149,6,17913,3.0,40,1,0,202,5.313205979041787
150,1,1743,0.0,68,1,0,22,3.1354942159291497
151,8,10760,2.0,49,0,0,67,4.219507705176107
152,4,14097,2.0,47,1,0,270,5.602118820879701
153,7,18398,4.0,53,0,0,400,5.993961427306569
154,11,31167,6.0,56,1,0,9,2.302585092994046
155,6,17420,4.0,70,1,0,29,3.4011973816621555
156,5,16715,1.0,60,1,0,114,4.74493212836325
157,8,23819,1.0,31,1,0,44,3.80666248977032
158,4,7295,1.0,70,0,1,339,5.828945617610208
159,3,4391,0.0,35,1,0,83,4.430816798843313
160,2,8840,1.0,41,1,1,903,6.806829360392176
161,5,18246,1.0,69,0,0,68,4.23410650459726
162,4,13299,0.0,55,1,1,977,6.885509670034818
163,4,9704,1.0,21,0,1,644,6.4692503167957724
164,4,7890,1.0,69,1,1,993,6.901737206656574
165,6,14544,3.0,26,1,0,170,5.14166355650266
166,9,29342,3.0,28,1,0,358,5.883322388488279
167,4,8508,2.0,57,0,1,469,6.152732694704104
169,8,15868,5.0,21,1,1,177,5.181783550292085
170,8,24385,4.0,40,0,0,44,3.80666248977032
171,1,4206,0.0,61,1,1,430,6.066108090103747
172,6,10493,1.0,41,0,0,452,6.115892125483034
173,5,15597,2.0,66,0,0,159,5.075173815233827
174,2,3347,1.0,39,0,0,40,3.713572066704308
175,4,10189,2.0,31,0,1,225,5.420534999272286
176,7,13361,5.0,30,0,0,17,2.8903717578961645
177,4,12377,3.0,27,1,0,92,4.532599493153256
178,9,21604,2.0,35,0,1,150,5.017279836814924
179,5,20456,1.0,29,1,0,10,2.3978952727983707
